11/09/2000 Kansas                  99 UCLA                    98 N New York, NY
11/20/2000 Prairie View A&M        63 Texas A&M Corpus Chris  79
11/20/2000 College of Charleston   57 Chattanooga             56
11/20/2000 Boise St.               61 Kansas                 101
11/20/2000 Rhode Island            80 Tulsa                   89
11/20/2000 Western Illinois        50 Creighton               96
11/20/2000 Butler                  71 Birmingham Southern     62
11/20/2000 Loyola (MD)             56 MD Baltimore County     74
11/20/2000 Weber St.               69 Southern Utah           78
11/20/2000 Montana St.             62 Nevada                  79
11/20/2000 UNLV                    69 Illinois                74 N Lahaina, HI
11/20/2000 Mercyhurst              56 Kent St.                90
11/21/2000 Morningside             97 Iowa St.               102
11/21/2000 Colgate                 50 Arizona St.             64
11/21/2000 Evergreen St.           58 Eastern Washington      90
11/21/2000 Louisville              86 UNLV                    85 N Lahaina, HI
11/21/2000 Radford                 59 Siena                   67
11/21/2000 San Francisco           77 Cal Santa Barbara       74
11/21/2000 San Jose St.            58 Cal Riverside           55
11/21/2000 Connecticut             77 Chaminade               61
11/21/2000 Wright St.              73 Northern Illinois       66
11/21/2000 Evansville              87 Bowling Green           92
11/21/2000 Western Michigan        78 Michigan                92
11/21/2000 American                64 West Virginia           80
11/21/2000 High Point              83 Brown                   91
11/21/2000 SE Louisiana            76 Florida A&M             65
11/21/2000 Holy Cross              60 Harvard                 55
11/21/2000 Illinois                90 Maryland                80 N Lahaina, HI
11/21/2000 Lenoir-Rhyne            52 NC Asheville            63
11/21/2000 Guilford                54 NC Greensboro           81
11/21/2000 Albany (NY)             66 Niagara                 74
11/21/2000 Ferris St.              75 Oakland                 70
11/21/2000 Lehigh                  71 Wagner                  88
11/21/2000 Campbell                39 Winthrop                70
11/21/2000 Flagler                 67 Stetson                 89
11/21/2000 Seton Hall              79 Clemson                 78
11/21/2000 NC Wilmington           73 Duquesne                82
11/21/2000 Columbia                41 Miami (FL)              65
11/21/2000 Wisconsin               56 Tennessee               66
11/21/2000 St. Francis (PA)        62 Bucknell                68
11/21/2000 Iona                    78 Coppin St.              61
11/21/2000 Palm Beach Atlantic     60 Florida International   77
11/21/2000 Hofstra                 87 Florida Atlantic        67
11/21/2000 Jacksonville            80 Georgia Southern        78
11/21/2000 Charleston Southern     62 Georgia Tech            85
11/21/2000 Mount St. Mary's        57 Manhattan               71
11/21/2000 Maine                   80 Providence              71
11/21/2000 Monmouth (NJ)           63 Rider                   65
11/21/2000 Lafayette               65 Rutgers                 72
11/21/2000 Wofford                 48 South Carolina          74
11/21/2000 New England College     45 Stony Brook            107
11/21/2000 Southwest Baptist       72 Oral Roberts            83
11/21/2000 Central Michigan        67 Purdue                  66
11/21/2000 Alabama A&M             62 UAB                     97
11/21/2000 Furman                  61 Belmont                 68
11/21/2000 Texas San Antonio       75 Illinois Chicago        91
11/21/2000 Jacksonville St.        48 Kentucky                91 n Cincinnati, OH
11/21/2000 Boston University       55 Liberty                 54
11/21/2000 Ouachita Baptist        51 Louisiana Tech          90
11/21/2000 Mississippi Valley St.  58 Mississippi St.         93
11/21/2000 Norfolk St.             56 New Orleans             83
11/21/2000 Missouri Rolla          63 SE Missouri St.         87
11/21/2000 Union (KY)              45 Western Kentucky        75
11/21/2000 Lee University          80 Western Carolina        75
11/21/2000 Lipscomb                58 Wisconsin Milwaukee     74
11/21/2000 Marshall                75 Cincinnati              79
11/21/2000 McNeese St.             81 Louisiana Lafayette     88
11/21/2000 Stephen F. Austin       51 South Alabama           73
11/21/2000 SW Texas St.            63 Centenary               70
11/21/2000 Central Arkansas        47 Arkansas Little Rock    75
11/21/2000 Kansas St.              66 Wichita St.             76
11/21/2000 St. Louis               72 Southern Illinois       82
11/21/2000 Iowa                    73 Drake                   71
11/21/2000 Northwestern St.        57 Southern                53
11/21/2000 Arkansas Monticello     70 Texas Arlington         76
11/21/2000 Houston                 45 Rice                    65
11/21/2000 Oregon                  99 Denver                  90
11/21/2000 Elon                    63 Brigham Young          100
11/21/2000 Alcorn St.              62 Southern Mississippi    88
11/21/2000 Eastern Illinois        71 Nebraska                85
11/21/2000 Cascade                 73 Northern Arizona        91
11/21/2000 Dayton                  59 Arizona                 76 N Lahaina, HI
11/21/2000 Missouri Kansas City    46 Oklahoma St.            69
11/21/2000 Loyola Marymount        57 Cal Irvine              62
11/21/2000 Texas El Paso           73 Washington              61
11/21/2000 New Mexico St.          62 San Diego St.           77
11/21/2000 Western Montana         69 Idaho                   89
11/21/2000 San Diego               67 Southern California     78
11/21/2000 Cal St. Northridge      78 UCLA                    74
11/21/2000 Air Force               77 Long Beach St.          84
11/22/2000 UNLV                    90 Chaminade               78
11/22/2000 La Salle                79 Central Connecticut     73
11/22/2000 Louisville              71 Connecticut             83 N Lahaina, HI
11/22/2000 Dayton                  77 Maryland                71 N Lahaina, HI
11/22/2000 Fresno St.              82 North Carolina St.      63 N Springfield, MA
